0,1,2,3,4,5,6,7,8
2,5,12,3,17,0,17,1,1
2,7,23,3,17,5,17,10,1
0,5,12,1,17,3,17,10,1
7,0,10,0,3,6,0,51,30
0,3,12,2,17,6,17,4,1
1,5,12,1,17,3,17,13,1
6,9,19,1,14,0,4,54,3
0,7,12,3,17,6,17,1,1
8,4,12,3,17,5,16,33,1
0,8,9,2,17,4,17,3,1
0,4,12,1,17,6,17,2,1
2,4,9,1,17,5,17,2,1
0,4,13,4,17,0,17,1,1
0,4,12,1,17,5,17,2,1
0,5,23,3,17,5,17,1,1
0,5,12,2,17,0,17,1,1
0,6,24,2,17,5,17,1,0
6,8,17,2,1,1,3,45,4
6,12,19,1,15,4,3,38,26
1,4,6,1,17,0,17,1,1
12,14,12,1,19,0,0,3,26
1,4,12,1,17,0,17,1,1
2,3,10,3,17,0,10,1,1
6,8,1,4,2,4,4,21,24
0,5,10,4,13,1,17,26,1
0,4,9,1,17,6,17,2,1
0,6,12,3,17,0,17,1,1
6,5,19,3,15,0,2,17,19
0,4,27,1,17,0,17,1,1
6,12,7,1,15,5,3,32,3
6,12,19,2,2,2,3,48,21
10,5,26,1,0,6,0,40,27
0,4,12,3,17,0,17,24,1
0,7,12,1,17,5,17,1,1
4,9,20,1,5,6,4,5,3
2,5,5,4,17,5,17,12,1
2,6,12,1,17,0,17,37,1
1,6,11,3,17,5,17,2,1
0,4,13,1,17,1,17,33,1
0,6,12,3,17,0,16,10,1
6,12,1,4,15,0,6,21,3
2,6,12,1,17,0,17,1,1
0,5,23,3,17,6,10,12,1
0,6,12,4,17,5,17,1,1
0,7,9,3,17,5,17,1,1
1,5,2,3,17,5,16,10,1
0,4,9,1,17,0,17,10,1
12,4,12,1,19,4,0,49,29
0,6,12,3,17,0,17,1,1
0,7,14,4,17,5,17,1,1
6,12,19,1,5,6,4,44,3
0,5,12,1,17,0,17,5,1
0,4,23,4,17,6,17,10,1
1,7,27,3,17,5,16,26,1
1,8,26,2,17,0,10,10,1
6,12,19,1,2,6,6,32,8
0,7,12,1,17,2,11,1,1
6,12,19,1,15,1,4,41,11
2,8,15,2,17,4,16,1,1
2,7,23,3,17,5,17,1,1
1,8,13,1,17,5,17,13,1
1,5,11,3,17,4,17,1,1
10,13,2,1,19,0,0,51,27
2,4,14,1,4,0,17,1,1
6,8,19,4,2,0,3,14,3
6,12,20,4,2,5,4,39,9
0,3,12,1,17,6,17,1,1
0,8,27,4,17,5,16,1,1
0,8,4,1,17,0,17,1,1
1,5,10,1,17,0,17,1,1
0,4,12,3,17,0,17,1,1
0,7,15,3,17,5,17,1,1
10,5,24,1,0,6,0,50,29
9,12,11,1,19,5,0,2,25
1,6,2,1,17,0,17,1,1
0,4,5,2,17,3,10,1,1
0,8,15,1,17,0,17,43,1
0,7,12,3,17,0,17,2,1
9,0,13,0,2,6,0,3,25
0,5,12,1,17,0,17,3,1
0,5,26,2,17,0,17,10,1
0,4,12,3,17,5,17,5,1
1,5,25,3,17,0,17,1,1
10,14,12,1,19,2,0,36,30
1,5,12,3,17,0,17,1,1
1,4,6,3,17,5,17,1,1
0,8,12,3,17,3,16,1,1
1,7,27,3,17,0,16,1,1
2,4,14,1,17,6,17,1,1
0,8,12,3,17,0,17,1,1
1,4,13,1,17,0,17,5,1
12,14,13,1,19,2,0,4,26
5,12,1,2,5,2,3,21,24
0,6,12,3,17,0,16,1,1
0,6,12,1,17,2,17,1,1
1,5,12,1,17,3,17,1,1
2,4,25,3,17,4,17,1,1
0,5,12,3,17,5,17,26,1
0,6,9,2,17,0,16,1,1
2,5,23,3,17,3,12,3,1
0,4,24,1,17,0,17,1,1
6,6,19,3,5,0,3,54,32
6,8,1,1,15,2,3,29,31
0,5,15,1,17,0,17,26,1
2,5,12,3,17,5,16,1,1
6,12,19,1,0,1,6,42,3
1,6,26,3,17,0,17,1,1
0,7,26,3,17,5,10,1,1
8,4,12,3,17,5,17,1,1
0,5,12,4,17,5,12,1,1
8,4,14,3,17,5,17,5,1
8,5,9,1,17,0,17,1,1
0,4,9,4,17,0,17,3,1
2,4,12,4,17,5,17,1,1
0,6,26,3,17,0,17,1,1
